Scenario,Date,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
-62,2017-09-10 13:00,0,19.8,61.4,9.5,89.3,83.3,7,346.1,2.7,13.2,3.3
-62,2017-09-11 13:00,10.1,7.8,69.6,17.1,22.3,45.1,3.5,317.2,0.2,6.9,0.1
-63,2017-08-27 13:00,0,22.6,31.8,9.8,176.4,91,64,403.5,8.2,91.6,26.3
-63,2017-08-28 13:00,0.1,23.4,47.7,15.3,219.8,90.1,66.6,410.7,9.4,94.8,29.5
-63,2017-08-29 13:00,3.5,17.1,83.3,1.3,38.2,52.5,49.9,407.9,0.2,76.5,0.5
-63,2017-08-30 13:00,22.7,10.3,86.7,13.2,349.3,23.8,20.4,326.8,0,35.3,0
-63,2017-08-31 13:00,0.2,15.8,35.6,6,278.3,61.6,22.6,332.6,0.6,38.7,0.9
-63,2017-09-01 13:00,0,20.1,37,21,199.9,84.5,25,337.9,5.7,42.2,13.3
-63,2017-09-02 13:00,9,22.4,47,18.4,267.5,70.5,14.9,316.1,1.6,26.7,3
-63,2017-09-03 13:00,2.9,17.6,67.1,20.8,312.7,67.8,12.2,316.1,1.7,22.3,2.7
-63,2017-09-04 13:00,5.1,12.3,54.8,12.6,286.8,57,8.2,307.4,0.6,15.5,0.5
-63,2017-09-05 13:00,1,13.3,48.5,15.4,299.1,73.8,9.6,311.5,1.6,17.8,2
-63,2017-09-06 13:00,0,10.8,38.7,18.8,278,83.7,10.9,315.2,4.5,20,7.3
-63,2017-09-07 13:00,0.1,8.3,56.2,14.4,308,84.2,11.6,318.4,3.9,21.3,6.5
-63,2017-09-08 13:00,6,7,90.4,17.3,292.1,38.3,6.5,305.3,0.1,12.4,0
-63,2017-09-09 13:00,11.1,7.7,89.1,12.4,18.2,20.3,3,276.3,0,5.7,0
-63,2017-09-10 13:00,0.4,11.7,47.4,11.8,246.7,55.2,4.1,280.1,0.5,8,0.3
-63,2017-09-11 13:00,10.1,7.8,69.6,17.1,22.3,39.6,2,255.8,0.1,4,0
-64,2017-08-27 13:00,0,19.9,44.3,7.4,181.4,90,63,403,6.2,90.6,21.6
-64,2017-08-28 13:00,0,21.8,59.8,11.3,215,88,64.9,409.9,5.7,93,20.5
-64,2017-08-29 13:00,0.1,22.4,54,12.1,280.3,88.1,67.2,416.9,6,95.8,21.6
-64,2017-08-30 13:00,10.1,14.3,61.2,11.5,358.2,52.8,35.7,384.5,0.4,58,0.8
-64,2017-08-31 13:00,0,15.9,45.9,5.2,213.7,74.1,37.6,390.4,0.9,60.6,3.1
-64,2017-09-01 13:00,0,18.4,42.2,15.3,203.6,85.2,39.6,395.4,4.7,63.4,14.5
-64,2017-09-02 13:00,4.5,16.6,91,13.7,275.1,46.4,27.2,387.2,0.2,46.2,0.3
-64,2017-09-03 13:00,0.2,17.3,68.9,9.4,310.4,67.4,28.2,392,0.9,47.8,2.4
-64,2017-09-04 13:00,0.1,12.1,36.3,13.3,327.2,81.8,29.7,395.9,2.7,50,8
-64,2017-09-05 13:00,0,13.8,38.2,8.4,301,86.4,31.3,400.1,3.9,52.4,11.2
-64,2017-09-06 13:00,0.1,13.3,44.4,5.5,78.7,87,32.7,404.2,3.7,54.4,10.9
-64,2017-09-07 13:00,3.6,10.3,68.4,11.5,41.2,60.1,24.5,398.5,0.7,42.5,1.4
-64,2017-09-08 13:00,1.3,9.6,87,7.5,196.7,57.2,24.8,402,0.5,42.9,0.7
-64,2017-09-09 13:00,1,12.1,47.4,9.5,240.5,71.7,26,405.8,1.1,44.8,2.8
-64,2017-09-10 13:00,0,15.3,53.3,7.6,275.4,80.9,27.4,410.3,1.8,46.9,5.3
-64,2017-09-11 13:00,10.1,7.8,69.6,17.1,22.3,44.7,13.8,376,0.2,25.3,0.2
-65,2017-08-27 13:00,0,18.8,53.2,9.6,183.4,88.7,62.5,402.8,5.8,90.1,20.4
-65,2017-08-28 13:00,0.2,21.6,62.7,10.9,214.2,87.3,64.3,409.6,5.1,92.3,18.8
-65,2017-08-29 13:00,0.6,21.8,65.4,5.2,326.3,85.9,65.9,416.6,3.1,94.5,13.1
-65,2017-08-30 13:00,1.7,15.2,57.5,8.7,355.2,75.8,63,422.3,1.2,91.8,5.8
-65,2017-08-31 13:00,0,18.8,53.1,9,177.7,83.5,64.9,428.7,2.7,94.2,11.8
-65,2017-09-01 13:00,0,19.8,55.9,16.6,192.5,85.7,66.6,433.9,5.4,96.2,20
-65,2017-09-02 13:00,16.8,17.1,81.4,15.5,282.1,42.4,30.1,371.2,0.1,50.1,0.2
-65,2017-09-03 13:00,0.2,19.6,57.6,11.5,255.5,71.4,31.7,376.4,1.2,52.4,3.6
-65,2017-09-04 13:00,6.7,12.3,54.9,13.3,1.6,54.9,19,359.1,0.5,33.6,0.7
-65,2017-09-05 13:00,1.6,9.3,80.4,21.8,337.7,58.9,18.6,362.5,1.1,33,2.3
-65,2017-09-06 13:00,0.5,13.8,59.1,17.1,325.3,75.8,19.7,366.7,1.9,34.7,4.4
-65,2017-09-07 13:00,0,17.1,50.6,6.2,20.6,83.2,21.3,371.5,2.3,37.3,5.5
-65,2017-09-08 13:00,0,17.1,54.2,5.4,176.2,85.2,22.8,376.3,2.8,39.6,7.2
-65,2017-09-09 13:00,0,20.1,60.2,7.7,190.8,85.5,24.3,381.6,3.3,41.9,8.6
-65,2017-09-10 13:00,0,20.8,60.8,11.7,349.4,85.6,25.8,387,4.2,44.3,10.7
-65,2017-09-11 13:00,10.1,7.8,69.6,17.1,22.3,45.5,13.1,354.7,0.2,23.9,0.2
-66,2017-08-27 13:00,0,19.9,41.8,9.2,177.8,90.2,63.1,403,7,90.7,23.5
-66,2017-08-28 13:00,0,22.6,54.9,11.8,221.9,88.8,65.3,410,6.6,93.4,22.9
-66,2017-08-29 13:00,0.4,22.4,55.2,2.4,116.6,88.6,67.5,417.1,3.9,96.1,15.9
-66,2017-08-30 13:00,4,15.3,52.7,8.1,20.9,65.6,49.3,411.6,0.8,75.9,3.2
-66,2017-08-31 13:00,0,18.6,46.1,11.5,183.6,81.9,51.5,417.9,2.5,78.7,9.9
-66,2017-09-01 13:00,0,23.3,53.8,15.8,204.2,86.3,53.5,423.8,5.6,81.3,18.8
-66,2017-09-02 13:00,8,21.4,59.2,16.2,270,65.2,31.4,400,1.2,52.5,3.7
-66,2017-09-03 13:00,10.7,17.9,74.9,5.9,259.4,41,15.6,366.2,0.1,28.2,0.1
-66,2017-09-04 13:00,4.4,10.3,82.6,16.3,7.6,37.9,10.3,358.2,0.1,19.3,0
-66,2017-09-05 13:00,0.4,13.9,69,10.3,240.8,60.8,11.2,362.4,0.7,20.7,0.7
-66,2017-09-06 13:00,0,22.3,47.5,18.9,287.7,83,13.3,368.1,4.2,24.5,7.6
-66,2017-09-07 13:00,0,17.8,53.4,10.5,301,85.5,14.9,373,3.8,27.1,7.4
-66,2017-09-08 13:00,0,23.1,46.7,12.7,222.7,87.9,17.2,378.9,6.1,30.9,11.8
-66,2017-09-09 13:00,0.6,20.1,43.4,18.6,279.6,88,19.3,384.2,8.2,34.3,15.9
-66,2017-09-10 13:00,0.6,16.6,52.4,1,225,86,20.8,388.9,2.6,36.7,6.2
-66,2017-09-11 13:00,10.1,7.8,69.6,17.1,22.3,45.6,10.7,356.5,0.2,19.9,0.2
-67,2017-08-27 13:00,0,21.1,41.1,8.8,189.4,90.2,63.3,403.2,6.9,90.9,23.2
-67,2017-08-28 13:00,0,21.9,56.8,11.6,209.8,88.5,65.4,410.1,6.2,93.5,21.9
-67,2017-08-29 13:00,0,24.1,51,13.4,249.6,88.5,67.9,417.5,6.8,96.5,23.9
-67,2017-08-30 13:00,14.1,9.8,64.6,14.1,346.7,45.8,32.5,367.8,0.2,53.3,0.3
-67,2017-08-31 13:00,0,15.3,46.1,5.6,219.8,70.5,34.4,373.6,0.8,55.9,2.5
-67,2017-09-01 13:00,0,18.1,53,16,189,82.4,36,378.6,3.4,58.1,10.5
-67,2017-09-02 13:00,4.7,17.3,85.6,12.4,260,50.2,24.3,370.2,0.3,41.7,0.5
-67,2017-09-03 13:00,5.5,19.4,64.9,12.7,295.1,55.8,16.1,359.4,0.6,29,0.7
-67,2017-09-04 13:00,3,6.8,83.7,25.1,344.2,47.9,12.2,356.5,0.4,22.5,0.4
-67,2017-09-05 13:00,0.7,7.8,66.7,13.3,347.5,63.4,12.7,359.6,1,23.4,1
-67,2017-09-06 13:00,0.3,9.8,44.4,11.5,308.7,77.7,13.8,363.1,1.6,25.2,2.9
-67,2017-09-07 13:00,0,14.9,44.8,6.5,263.7,84.2,15.4,367.5,2.6,27.9,5.3
-67,2017-09-08 13:00,0,20.8,48.3,12.7,235.4,87.1,17.4,372.9,5.3,31.2,10.7
-67,2017-09-09 13:00,0,22.6,56.5,4.7,212.5,87.1,19.2,378.7,3.6,34.1,8.1
-67,2017-09-10 13:00,0,24.4,58.9,7.4,227,87.1,21.1,384.8,4.1,37.1,9.6
-67,2017-09-11 13:00,10.1,7.8,69.6,17.1,22.3,45.7,10.8,352.7,0.2,20.1,0.2
-68,2017-08-27 13:00,0,20.3,50.9,7.5,176.4,89.2,62.8,403,5.5,90.4,19.9
-68,2017-08-28 13:00,0.6,22.9,56.6,12.2,216.3,87.7,64.9,410.1,5.7,93,20.4
-68,2017-08-29 13:00,0.3,24.4,52.3,9.7,228.2,87.7,67.4,417.5,5,96.1,19.1
-68,2017-08-30 13:00,20.3,14.3,72.7,12.7,6.5,43.4,29.5,344.3,0.1,48.6,0.2
-68,2017-08-31 13:00,0.2,15.7,48.7,4.5,256,68.1,31.3,350.1,0.7,51.2,1.9
-68,2017-09-01 13:00,0,20.3,47.4,16,202.5,83.6,33.3,355.4,3.9,54,11.3
-68,2017-09-02 13:00,11.7,18.6,69.4,13.1,301.5,52.8,16,322,0.4,28.5,0.5
-68,2017-09-03 13:00,3.9,10.3,80.4,19.8,323.1,46.2,11.1,316.9,0.3,20.4,0.2
-68,2017-09-04 13:00,1.1,10.8,50.7,12.7,355.1,65.8,12.1,320.6,1,22.1,1
-68,2017-09-05 13:00,0.3,11.2,46.7,14,334.1,79.2,13.3,324.3,2.1,24.1,3.8
-68,2017-09-06 13:00,1.1,12.8,54.2,11.5,308.7,78.7,14.4,328.3,1.8,26,3.3
-68,2017-09-07 13:00,1.1,14.7,57.4,17.3,225,79.3,15.6,332.6,2.5,27.9,5.1
-68,2017-09-08 13:00,1.8,9.8,39.4,13.9,301.2,75.5,15.3,336.1,1.6,27.5,3
-68,2017-09-09 13:00,0,13.7,48.4,5.9,346,82.5,16.6,340.2,2,29.7,4.3
-68,2017-09-10 13:00,0.9,16.9,61.7,9.9,190.5,81,17.9,345,2.1,31.6,4.6
-68,2017-09-11 13:00,10.1,7.8,69.6,17.1,22.3,44.7,9.2,316.1,0.2,17.2,0.2
-69,2017-08-27 13:00,0,20.4,39.1,7,182.1,90.2,63.3,403.1,6.3,90.9,21.7
-69,2017-08-28 13:00,0,21.9,55.3,11.7,205.5,88.7,65.4,410,6.4,93.6,22.5
-69,2017-08-29 13:00,0.9,19.9,76.3,5.5,336.8,81.1,66.5,416.6,1.7,95,8
-69,2017-08-30 13:00,1.4,16.6,53.6,8.6,345.4,77.9,68.2,422.6,1.4,97.1,7
-69,2017-08-31 13:00,0,14.9,54.6,9.4,182.2,83.1,69.7,428.3,2.6,99.1,11.8
-69,2017-09-01 13:00,11.4,13.4,96.4,18.3,199.5,24.4,34.9,387.9,0,56.9,0
-69,2017-09-02 13:00,6.8,20.1,59.9,14.8,256,53.1,21.3,371.3,0.5,37.3,0.7
-69,2017-09-03 13:00,1.6,16.8,62.7,15.9,303,68,21.4,376,1.3,37.5,3.1
-69,2017-09-04 13:00,0,18.3,49.1,9.7,153.4,81.7,23.2,381,2.2,40.2,5.8
-69,2017-09-05 13:00,5.4,22.1,79.2,7,158.8,53.3,15.1,370.5,0.3,27.3,0.4
-69,2017-09-06 13:00,0.1,20.8,47.4,10.3,245.2,78.5,17.1,376,1.7,30.7,3.5
-69,2017-09-07 13:00,1.2,13.6,74.6,11.9,264.8,74,17.8,380.1,1.3,31.8,2.7
-69,2017-09-08 13:00,2.1,10.1,70.8,8.7,330.3,63.5,15.8,383.6,0.8,28.7,0.9
-69,2017-09-09 13:00,0.6,10.7,68.1,5.4,126.9,71.6,16.5,387.3,0.9,29.8,1.1
-69,2017-09-10 13:00,3.5,9.8,84,9.2,149.4,48,11.9,382.3,0.2,22,0.2
-69,2017-09-11 13:00,10.1,7.8,69.6,17.1,22.3,38,6.2,350.5,0.1,11.8,0
-70,2017-08-27 13:00,0,20.9,41.4,9.3,160.7,90.2,63.3,403.2,7,90.9,23.6
-70,2017-08-28 13:00,0.2,21.9,63.5,11.1,211.4,87.5,65,410.1,5.2,93.1,19.3
-70,2017-08-29 13:00,2.8,18.9,83.7,7.3,281,61,52.5,410.6,0.6,79.6,2.4
-70,2017-08-30 13:00,2.9,14.4,46.2,12.6,3.3,66.4,43.8,410,1.1,69.1,4
-70,2017-08-31 13:00,0,16.9,45,9.1,198.4,81.3,45.8,416.1,2.1,71.9,7.9
-70,2017-09-01 13:00,0.2,16.4,52.7,14.4,190.1,85,47.3,420.7,4.3,73.8,14.8
-70,2017-09-02 13:00,3.5,17.1,90.6,11.8,250.5,51.4,35.7,416.3,0.3,58.8,0.7
-70,2017-09-03 13:00,2.8,8.1,63,21.9,306.3,56.6,29.4,419.5,1,50,2.7
-70,2017-09-04 13:00,0.4,9.6,55.8,17.6,312.5,73.5,30.2,422.9,1.7,51.2,5.3
-70,2017-09-05 13:00,0.1,12.4,48.3,11.1,324.3,82,31.4,426.8,2.5,53.1,7.7
-70,2017-09-06 13:00,0.4,19.6,55.4,9.8,293.9,85.2,33.1,432.1,3.6,55.5,10.7
-70,2017-09-07 13:00,0,21.9,56,11.5,231.8,86.4,34.9,437.7,4.5,58.2,13.4
-70,2017-09-08 13:00,0,19.4,42.1,18.9,296.5,88.3,37,442.9,8.7,61.2,22.3
-70,2017-09-09 13:00,0.1,23.9,43.6,21.1,213.2,89.1,39.5,448.9,10.8,64.8,26.8
-70,2017-09-10 13:00,1.6,22.9,76.8,6.1,273.4,75.4,39.1,454.7,1.1,64.3,3.8
-70,2017-09-11 13:00,10.1,7.8,69.6,17.1,22.3,43.7,19.8,416.3,0.2,35.5,0.2
-71,2017-08-27 13:00,0,20.1,40.4,6,181.4,90.2,63.2,403,5.9,90.8,20.9
-71,2017-08-28 13:00,0,21.4,55.5,10.9,221.4,88.6,65.3,409.9,6.1,93.4,21.6
-71,2017-08-29 13:00,10.2,13.6,89.3,3.5,24,30.6,33.6,377.7,0,55,0
-71,2017-08-30 13:00,0.2,16.1,56,7,21.3,60.7,35.1,383.6,0.6,57.2,1.5
-71,2017-08-31 13:00,0,17.4,51.1,6.6,202.4,77.6,37,389.7,1.3,59.8,4.3
-71,2017-09-01 13:00,0,19.3,58.6,22.8,217.9,84,38.5,394.9,5.8,61.9,16.8
-71,2017-09-02 13:00,18.5,21.6,54.7,14.4,283,61.6,17.3,332.4,0.9,30.5,1.4
-71,2017-09-03 13:00,0,18.3,55.7,5.4,183.8,77,18.8,337.3,1.1,33,2.3
-71,2017-09-04 13:00,1.6,15.7,61.4,13.2,342.6,74.6,19,341.9,1.5,33.3,3.2
-71,2017-09-05 13:00,5.4,9.4,66,16.3,352.4,52.9,12.1,330.6,0.5,22.2,0.5
-71,2017-09-06 13:00,0,16.8,57.4,9.4,270,73.4,13.5,335.3,1.1,24.4,1.6
-71,2017-09-07 13:00,0,23.3,44.1,13.5,290.8,86.1,15.9,341.2,4.9,28.4,9.5
-71,2017-09-08 13:00,0,23.4,51.9,8.1,190.3,87.3,18,347.1,4.4,31.8,9.2
-71,2017-09-09 13:00,0,23.1,50.2,6.1,266.6,87.7,20.1,352.9,4.2,35.2,9.5
-71,2017-09-10 13:00,0,20.4,43.6,6.9,51.3,88.4,22.3,358.3,4.8,38.6,11.1
-71,2017-09-11 13:00,10.1,7.8,69.6,17.1,22.3,46,11.4,328.4,0.2,21,0.2
-72,2017-08-27 13:00,0,21.1,40.2,9.2,164.4,90.2,63.3,403.2,7,91,23.5
-72,2017-08-28 13:00,0.4,21.8,59.5,11.1,202.9,88.1,65.3,410.1,5.7,93.4,20.6
-72,2017-08-29 13:00,1.4,20.8,53.7,6.1,3.4,81,67.3,416.8,1.7,95.9,8.2
-72,2017-08-30 13:00,0.7,17.3,48.4,7.2,354.3,84.1,69.3,422.9,2.7,98.3,11.9
-72,2017-08-31 13:00,0,17.9,44.2,3.3,220.6,86.8,71.5,429.2,3.2,100.9,14
-72,2017-09-01 13:00,0.2,18.8,53.4,15.9,186.5,86.8,73.1,434.3,6.1,102.9,22.7
-72,2017-09-02 13:00,9.5,19.6,63.2,12.7,184.9,58.5,40.1,402.5,0.7,64.2,2.2
-72,2017-09-03 13:00,3.6,17.4,54.5,20.5,259.9,66.7,31.1,398.1,1.6,52,4.9
-72,2017-09-04 13:00,4.8,10.9,87.9,20.5,285.3,42.2,20.4,387.4,0.1,36.1,0.2
-72,2017-09-05 13:00,9.2,10.3,91,17.6,337.1,23.5,10.5,359.3,0,19.6,0
-72,2017-09-06 13:00,3.1,9.9,60.9,11.3,309.8,43,8,356.6,0.1,15.2,0.1
-72,2017-09-07 13:00,3.1,9.3,77.8,14.9,344.6,44.8,5.7,353.8,0.2,10.9,0.1
-72,2017-09-08 13:00,1.1,11.2,49.5,15.2,306.3,66.4,6.8,357.5,1.2,12.9,0.8
-72,2017-09-09 13:00,0,17.1,42.6,17.1,255.4,82.9,8.6,362.3,3.8,16.3,5.4
-72,2017-09-10 13:00,0.1,15.1,45,7.1,66,86,10.2,366.7,3.5,19.1,5.5
-72,2017-09-11 13:00,10.1,7.8,69.6,17.1,22.3,45.5,5.3,336.1,0.2,10.2,0.1
-73,2017-08-27 13:00,0,20.3,42.3,6.7,161.4,90.2,63.2,403,6.1,90.8,21.4
-73,2017-08-28 13:00,0.1,20.9,57.1,11.7,215.8,88.3,65.1,409.8,6.1,93.2,21.6
-73,2017-08-29 13:00,0,20.4,53.6,7.4,354.4,88.4,67.2,416.5,4.9,95.7,18.8
-73,2017-08-30 13:00,3.3,12.7,55.8,11.6,343.8,66.9,51.8,413.5,1,78.9,4.2
-73,2017-08-31 13:00,0,16.4,38.8,6.6,247.6,81.8,54,419.5,2,81.8,8.2
-73,2017-09-01 13:00,0,20.8,47.3,14.6,218,86.7,56.1,424.9,5.6,84.3,19.3
-73,2017-09-02 13:00,0.9,18.4,74.4,17.4,198.1,81,57,429.9,3,85.6,12.2
-73,2017-09-03 13:00,21.3,10.7,94.6,18.1,265.4,21.4,23.6,348.6,0,40.4,0
-73,2017-09-04 13:00,0.5,18.1,58.6,8.7,231.7,57.1,25,353.6,0.5,42.5,0.8
-73,2017-09-05 13:00,0,17.9,54.5,7.2,40.9,75.8,26.5,358.5,1.2,44.8,3.1
-73,2017-09-06 13:00,32.3,12.3,58.7,8.9,284,42,10.3,255,0.1,18.7,0.1
-73,2017-09-07 13:00,0,17.1,52,14.2,239.5,71.8,11.9,259.8,1.4,21.3,1.9
-73,2017-09-08 13:00,0,17.6,53,7.8,103.4,81.7,13.4,264.7,2,23.8,3.6
-73,2017-09-09 13:00,3.1,12.4,93.2,15.8,114.2,49.7,9.8,263.7,0.3,17.9,0.3
-73,2017-09-10 13:00,5,13.1,78.5,15.8,287.2,44.3,6.1,256.9,0.2,11.5,0.1
-73,2017-09-11 13:00,10.1,7.8,69.6,17.1,22.3,37.2,3.1,234.1,0,6,0
-74,2017-08-27 13:00,0,18.1,51.8,7.5,157.8,88.8,62.5,402.6,5.3,90.1,19.2
-74,2017-08-28 13:00,0.1,20.9,62.5,11.1,211.3,87.3,64.2,409.4,5.1,92.3,18.9
-74,2017-08-29 13:00,3,18.9,72.4,10.3,330.8,66.9,51.6,409.4,1,78.5,3.9
-74,2017-08-30 13:00,1.8,16.3,60.9,6.6,319.4,68.8,49.7,415.3,0.8,76.6,3.3
-74,2017-08-31 13:00,0.1,17.3,49.3,9.3,173.4,81.5,51.7,421.4,2.1,79.1,8.7
-74,2017-09-01 13:00,0,20.3,50,23.9,217,86.4,53.6,426.8,8.5,81.5,25.5
-74,2017-09-02 13:00,12.5,20.4,55.4,14,292.6,61.6,27.4,383.2,0.9,46.4,2.3
-74,2017-09-03 13:00,0.5,19.4,39.1,18.4,271.1,83.4,29.6,388.4,4.3,49.7,11.7
-74,2017-09-04 13:00,2.5,10.8,72,19.2,308,66.6,25.3,392.1,1.5,43.5,4
-74,2017-09-05 13:00,6.3,8.3,88.7,14.7,329,34.6,14.9,375.1,0,27.1,0
-74,2017-09-06 13:00,0.9,14.4,56,11.4,280.9,62.1,16.1,379.4,0.8,29.1,0.9
-74,2017-09-07 13:00,0.3,18.6,44.9,18.6,328.5,82.1,18,384.5,3.7,32.3,7.9
-74,2017-09-08 13:00,0,19.4,47.6,14.2,234.3,86.5,19.9,389.7,5.3,35.4,11.4
-74,2017-09-09 13:00,0,25.4,41,14.2,262.7,89.4,22.7,395.9,8.1,39.8,16.9
-74,2017-09-10 13:00,0.1,19.6,47.9,9.4,357.8,89.3,24.7,401.2,6.2,42.7,14.4
-74,2017-09-11 13:00,10.1,7.8,69.6,17.1,22.3,46.1,12.5,367.7,0.2,23.1,0.2
-75,2017-08-27 13:00,0,20.6,50.5,5.3,219.4,89.3,62.8,403.1,5,90.4,18.5
-75,2017-08-28 13:00,0.1,22.3,56.2,10.9,223.7,88.5,64.9,410.1,6,93,21.2
-75,2017-08-29 13:00,0.5,21.9,59.1,7.6,264.6,87.9,66.9,417,4.6,95.5,17.9
-75,2017-08-30 13:00,6.6,14.8,71.8,7.6,5.4,50.9,40.6,400,0.3,64.7,0.5
-75,2017-08-31 13:00,0.2,17.3,53.3,5.5,191.3,72.4,42.3,406.1,0.9,67.2,3.2
-75,2017-09-01 13:00,0,20.4,59.3,19.6,212.2,82.8,43.9,411.5,4.2,69.3,14
-75,2017-09-02 13:00,18,18.8,74.7,16.6,273.7,49,19.3,347.7,0.3,33.9,0.4
-75,2017-09-03 13:00,3.2,7.3,67,17.7,333.4,50.7,14.7,344.2,0.4,26.5,0.5
-75,2017-09-04 13:00,0,11.8,47.4,12.3,328.2,72.7,15.9,348,1.3,28.5,2.3
-75,2017-09-05 13:00,0,15.6,44.3,7.2,233.1,82.8,17.5,352.5,2.3,31.2,4.9
-75,2017-09-06 13:00,0.7,18.1,75.2,7.5,125.2,80.7,18.4,357.5,1.8,32.6,4
-75,2017-09-07 13:00,0,23.1,65.1,13,176.8,84.2,19.9,363.3,3.6,35,8.3
-75,2017-09-08 13:00,4.1,19.1,88.1,13.5,208.6,52.2,13.8,358.2,0.4,25.2,0.4
-75,2017-09-09 13:00,2.7,18.1,48.4,22.5,291.6,70.9,12.2,363.1,2,22.6,3.4
-75,2017-09-10 13:00,0,21.3,37.2,11.9,256,86,14.7,368.7,4.4,26.8,8.4
-75,2017-09-11 13:00,10.1,7.8,69.6,17.1,22.3,45.6,7.7,337.9,0.2,14.5,0.2
-76,2017-08-27 13:00,0,20.6,43.7,7.8,185,90.1,63.1,403.1,6.5,90.7,22.3
-76,2017-08-28 13:00,0.1,21.9,59.7,11.6,218.2,88.1,65,410,5.8,93.1,20.9
-76,2017-08-29 13:00,4.5,23.6,59.5,13.4,265.4,71.3,46.1,403.9,1.3,71.7,5
-76,2017-08-30 13:00,5.1,15.9,61.8,11,348.7,58,31.5,394.1,0.6,52.5,1.4
-76,2017-08-31 13:00,0.1,17.3,40.9,7.8,201.8,78.9,33.7,400.2,1.5,55.7,4.9
-76,2017-09-01 13:00,0,20.4,52.4,16.7,212.7,85.3,35.5,405.6,5.1,58.3,14.7
-76,2017-09-02 13:00,6.1,16.9,77,12.5,251.6,53.2,21.9,390.4,0.4,38.5,0.6
-76,2017-09-03 13:00,3.1,11.6,79.9,20.2,321.5,50.9,17,387.5,0.5,30.7,0.6
-76,2017-09-04 13:00,1.8,10.7,58,12.2,315,61.8,16.3,391.1,0.8,29.6,1
-76,2017-09-05 13:00,0.7,15.2,68.2,6.5,213.7,71.8,17.2,395.5,0.9,31.1,1.5
-76,2017-09-06 13:00,7.8,10.3,58.8,18.1,6.8,52.3,10,372.5,0.5,18.7,0.5
-76,2017-09-07 13:00,0.7,14.8,56.5,13,274.8,72.2,11.2,376.8,1.3,20.9,1.7
-76,2017-09-08 13:00,4.3,15.8,63.2,17.7,296.6,62.5,8,369.9,1.1,15.2,0.9
-76,2017-09-09 13:00,2.7,14.6,50.4,7.5,324.8,64.3,6.9,374.3,0.7,13.3,0.5
-76,2017-09-10 13:00,0.9,11.9,60,12,318.6,73.3,7.9,378.1,1.3,15,1
-76,2017-09-11 13:00,10.1,7.8,69.6,17.1,22.3,43.3,4,346.6,0.1,7.9,0.1
-77,2017-08-27 13:00,0,18.9,42.5,7.1,178.3,90.1,63,402.8,6.2,90.6,21.5
-77,2017-08-28 13:00,0,21.6,56.1,13.2,204.2,88.5,65,409.7,6.7,93.1,23.2
-77,2017-08-29 13:00,2.5,16.9,87.1,6.8,295.2,60.9,54.6,415.7,0.6,82.2,2.3
-77,2017-08-30 13:00,2.5,15.8,59,10.8,1.9,64.7,47.1,421.6,0.9,73.6,3.5
-77,2017-08-31 13:00,0,16.8,44.6,10.4,182,80.9,49.2,427.6,2.1,76.4,8.4
-77,2017-09-01 13:00,0,15.9,60.4,19.4,195.1,83.9,50.4,432.2,4.8,78,16.5
-77,2017-09-02 13:00,17.7,18.1,72.6,10.9,287.2,46.4,22.6,366,0.2,39.1,0.3
-77,2017-09-03 13:00,0,15.8,66.1,8.2,293.2,67,23.6,370.6,0.9,40.7,1.8
-77,2017-09-04 13:00,1.5,6.8,77.2,21.4,317.7,64.9,23.9,373.5,1.5,41.2,4
-77,2017-09-05 13:00,1.5,11.9,49.9,13.2,325,72,25.1,377.4,1.3,43,3.4
-77,2017-09-06 13:00,0.4,14.8,61.7,4.5,161.6,79.1,26.2,381.7,1.3,44.7,3.5
-77,2017-09-07 13:00,0,16.9,59.2,17.2,195.8,83.6,27.5,386.5,4.2,46.7,11
-77,2017-09-08 13:00,0,24.4,58.7,17.9,228.3,86.1,29.4,392.6,6,49.5,15.3
-77,2017-09-09 13:00,1.4,19.1,53,15.3,260.5,81.6,31,397.7,2.9,52,8.8
-77,2017-09-10 13:00,0,19.9,47.6,5.3,227.7,86,33,403,3.2,54.8,9.7
-77,2017-09-11 13:00,10.1,7.8,69.6,17.1,22.3,45.6,16.2,369.3,0.2,29.3,0.2
-78,2017-08-27 13:00,0,19.1,46.2,7.6,178.6,89.7,62.9,402.8,6,90.4,21
-78,2017-08-28 13:00,0.1,20.8,64.3,11.5,210.1,87.2,64.5,409.6,5.1,92.5,18.9
-78,2017-08-29 13:00,0.1,23.4,40.2,4.7,180,89.2,67.5,416.8,4.8,96.1,18.5
-78,2017-08-30 13:00,13.8,16.6,52.6,11.5,1.8,56.4,33.4,369.5,0.6,54.5,1.1
-78,2017-08-31 13:00,0,16.4,52.3,6.1,176.6,74.9,35.1,375.4,1,56.9,3.3
-78,2017-09-01 13:00,0.1,19.9,55.2,14.2,165.3,83.6,36.8,380.7,3.6,59.2,11.2
-78,2017-09-02 13:00,4.5,20.6,59.5,11.3,247.5,67.1,26.4,373.7,1,44.9,2.6
-78,2017-09-03 13:00,13.2,12.8,91.5,19.8,294.7,27.8,12,332,0,22,0
-78,2017-09-04 13:00,10.1,8.3,72.7,15.3,315,31.6,6.2,304.3,0,11.8,0
-78,2017-09-05 13:00,5,6.3,56.2,15.3,279.5,42,3.8,295.2,0.1,7.3,0.1
